,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
7197,90449,Ann Elizabeth Packer (-Brightwell),F,22.0,169.0,57.0,Great Britain,GBR,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 800 metres,1
7198,90454,Mrta Pacsai-Megyeri,F,23.0,182.0,74.0,Hungary,HUN,1976 Summer,1976,Summer,Montreal,Handball,Handball Women's Handball,1
7199,90462,Ildik Pdr,F,26.0,178.0,72.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball,1
7200,90462,Ildik Pdr,F,30.0,178.0,72.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Handball,Handball Women's Handball,1
7201,90469,Nataliya Fyodorovna Paderina (Akhmertdinova-),F,32.0,160.0,56.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Women's Air Pistol, 10 metres",1
7202,90506,Maria Pdurariu,F,21.0,170.47480435197556,63.219377897990725,Romania,ROU,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,1
7203,90512,Paek Myong-Suk,F,18.0,175.0,78.0,North Korea,PRK,1972 Summer,1972,Summer,Munich,Volleyball,Volleyball Women's Volleyball,1
7204,90546,Bryony Kate Frances Page,F,25.0,172.0,60.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Women's Individual,1
7205,90547,Danielle Nicole Page,F,29.0,188.0,77.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,1
7206,90581,Marta Pagnini,F,21.0,175.0,58.0,Italy,ITA,2012 Summer,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,1
7207,90631,Mariana Pajn Londoo,F,20.0,158.0,50.0,Colombia,COL,2012 Summer,2012,Summer,London,Cycling,Cycling Women's BMX,1
7208,90631,Mariana Pajn Londoo,F,24.0,158.0,50.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's BMX,1
7209,90649,Pak Hyon-Suk,F,23.0,155.0,63.0,North Korea,PRK,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Middleweight,1
7210,90671,Yuliya Vladimirovna Pakhalina,F,23.0,155.0,47.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Diving,Diving Women's Synchronized Springboard,1
7211,90671,Yuliya Vladimirovna Pakhalina,F,26.0,155.0,47.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Diving,Diving Women's Springboard,1
7212,90671,Yuliya Vladimirovna Pakhalina,F,26.0,155.0,47.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Diving,Diving Women's Synchronized Springboard,1
7213,90671,Yuliya Vladimirovna Pakhalina,F,30.0,155.0,47.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Diving,Diving Women's Springboard,1
7214,90671,Yuliya Vladimirovna Pakhalina,F,30.0,155.0,47.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Diving,Diving Women's Synchronized Springboard,1
7215,90673,Olena Ivanivna Pakholchyk,F,31.0,180.0,67.0,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Women's Two Person Dinghy,1
7216,90673,Olena Ivanivna Pakholchyk,F,35.0,180.0,67.0,Ukraine,UKR,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Women's Two Person Dinghy,1
7217,90676,Lyudmila Alekseyevna Pakhomova (-Gorshkova),F,29.0,164.0,63.219377897990725,Soviet Union-1,URS,1976 Winter,1976,Winter,Innsbruck,Figure Skating,Figure Skating Mixed Ice Dancing,1
7218,90729,Laia Palau Alts,F,36.0,181.0,69.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,1
7219,90739,Iryna Havrylivna Palchykova (Biletska-),F,21.0,178.0,66.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Handball,Handball Women's Handball,1
7220,90742,Dagmar Palekov-vubov,F,25.0,164.0,54.0,Czechoslovakia,TCH,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,1
7221,90761,Matilda Vilma Plfyov (-Marekov),F,24.0,170.47480435197556,63.219377897990725,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,1
7222,90777,Katalin Plinger,F,21.0,183.0,72.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Handball,Handball Women's Handball,1
7223,90784,Diana Boneva Paliyska,F,22.0,173.0,66.0,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",1
7224,90784,Diana Boneva Paliyska,F,22.0,173.0,66.0,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",1
7225,90792,Olga Pall (-Scartezzini),F,20.0,170.0,69.0,Austria,AUT,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Downhill,1
7226,90856,Kylie Jayne Palmer,F,18.0,172.0,64.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,1
7227,90856,Kylie Jayne Palmer,F,22.0,172.0,64.0,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,1
