ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
66536,Sonia May Lannaman (-Garmston),F,24,165,57,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
66537,Colleen Lanne,F,24,177,65,United States,USA,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
66544,Micheline E. R. M. Lannoy (-MacAulay),F,22,NA,NA,Belgium,BEL,1948 Winter,1948,Winter,Sankt Moritz,Figure Skating,Figure Skating Mixed Pairs,Gold
66564,Vera Stepanovna Lantratova (-Ganzhenko),F,21,174,72,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Volleyball,Volleyball Women's Volleyball,Gold
66593,Lao Lishi,F,16,153,43,China,CHN,2004 Summer,2004,Summer,Athina,Diving,Diving Women's Platform,Silver
66593,Lao Lishi,F,16,153,43,China,CHN,2004 Summer,2004,Summer,Athina,Diving,Diving Women's Synchronized Platform,Gold
66597,Sandra Laoura,F,25,167,60,France,FRA,2006 Winter,2006,Winter,Torino,Freestyle Skiing,Freestyle Skiing Women's Moguls,Bronze
66619,Nataliya Yuryevna Lapitskaya (-Tsygankova),F,26,176,68,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Handball,Handball Women's Handball,Bronze
66638,Bernice Ruth Lapp (-Squier),F,18,NA,NA,United States,USA,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
66649,Lauren Lappin,F,24,170,73,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
66663,"Giouli ""Georgia"" Lara",F,24,175,78,Greece,GRE,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Women's Water Polo,Silver
66714,Yekaterina Alekseyevna Larionova,F,22,158,63,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Middleweight, Freestyle",Bronze
66721,Larissa Frana Maestrini,F,30,174,68,Brazil-1,BRA,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
66741,Jocelyne Dawn Marie Larocque,F,25,170,63,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
66780,Christine Larsen,F,28,171,61,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
66847,Tonje Larsen,F,25,184,72,Norway,NOR,2000 Summer,2000,Summer,Sydney,Handball,Handball Women's Handball,Bronze
66847,Tonje Larsen,F,33,184,72,Norway,NOR,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
66853,Breeja Larson,F,20,183,73,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
66860,"Christine ""Chris"" Larson Mason",F,28,175,61,United States,USA,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,Bronze
66861,Jordan Quinn Larson-Burbach,F,25,188,75,United States,USA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Silver
66861,Jordan Quinn Larson-Burbach,F,29,188,75,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
66906,Maria Linda Larsson,F,22,153,57,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
66946,Natlija Laonova (-Kravchenko),F,15,142,36,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Gold
66953,Irina Lashko (-Furler-),F,19,163,50,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Diving,Diving Women's Springboard,Silver
66953,Irina Lashko (-Furler-),F,23,163,50,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Diving,Diving Women's Springboard,Silver
66953,Irina Lashko (-Furler-),F,31,163,50,Australia,AUS,2004 Summer,2004,Summer,Athina,Diving,Diving Women's Synchronized Springboard,Bronze
66954,Yelena Anatolyevna Lashmanova,F,20,170,48,Russia,RUS,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 20 kilometres Walk,Gold
66963,Inna Aleksandrovna Lasovskaya,F,26,178,68,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Triple Jump,Silver
66978,Rosemary Lassig (-Lluka),F,19,165,63,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
66981,Riitta-Liisa Lassila-Roponen,F,31,161,54,Finland,FIN,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
66988,"Aartje Elisabeth ""Adrie"" Lasterie",F,20,171,65,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
66996,Norka Latamblet Daudinot,F,29,NA,NA,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,Gold
67007,Badri Latif,F,27,169,59,Germany,GER,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Gold
67026,Brigitte Latrille-Gaudin,F,18,174,55,France,FRA,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Women's Foil, Team",Silver
67026,Brigitte Latrille-Gaudin,F,22,174,55,France,FRA,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Women's Foil, Team",Gold
67026,Brigitte Latrille-Gaudin,F,26,174,55,France,FRA,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Women's Foil, Team",Bronze
67032,"Victoria Jane ""Vicky"" Latta",F,41,NA,NA,New Zealand,NZL,1992 Summer,1992,Summer,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
67032,"Victoria Jane ""Vicky"" Latta",F,45,NA,NA,New Zealand,NZL,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
